"BLACKROAD OS - BUDGET PLANNING WITH SCENARIO MODELING",,,,,,,,,,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from budget-planning.gs",,,,,,,,,,,,,,,,,,,,,,
"Total Revenue:","=SUMIF(B7:B100,""Revenue"",U7:U100)","Total Expenses:","=SUMIF(B7:B100,""Expense"",U7:U100)","Net Income:","=B3-D3",,,,,,,,,,,,,,,,
"Best Case:","=F3*1.2","Base Case:","=F3","Worst Case:","=F3*0.75",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"=== BUDGET ITEMS ===",,,,,,,,,,,,,,,,,,,,,,
"ID","Type","Category","Description","Department","Monthly Base","Growth Rate","Start Month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual Total","Notes","Created"
"BUD-2024-0001","Revenue","Subscriptions","[Description]","Sales","0","0","1","=F8","=I8*(1+G8)","=J8*(1+G8)","=K8*(1+G8)","=L8*(1+G8)","=M8*(1+G8)","=N8*(1+G8)","=O8*(1+G8)","=P8*(1+G8)","=Q8*(1+G8)","=R8*(1+G8)","=S8*(1+G8)","=SUM(I8:T8)","","=TODAY()"
"","Expense","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,,,,,,
"=== EXPENSE CATEGORIES ===",,,,,,,,,,,,,,,,,,,,,,
"Salaries & Wages","Benefits","Contractors","Software/SaaS",,,,,,,,,,,,,,,,,,
"Cloud Infrastructure","Office/Equipment","Travel","Marketing",,,,,,,,,,,,,,,,,,
"Legal/Professional","Insurance","R&D","Other",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"=== REVENUE CATEGORIES ===",,,,,,,,,,,,,,,,,,,,,,
"Product Revenue","Services","Subscriptions","Licensing","Other Revenue",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"=== DEPARTMENTS ===",,,,,,,,,,,,,,,,,,,,,,
"Engineering","Sales","Marketing","Operations","HR","Finance","Legal",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"=== SCENARIO MULTIPLIERS ===",,,,,,,,,,,,,,,,,,,,,,
"Best Case","1.20","(+20% above base)",,,,,,,,,,,,,,,,,,,,
"Base Case","1.00","(Standard projection)",,,,,,,,,,,,,,,,,,,,
"Worst Case","0.75","(-25% below base)",,,,,,,,,,,,,,,,,,,,
