"BLACKROAD OS - COMPETITIVE INTELLIGENCE TRACKER",,,,,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from competitive-intelligence.gs",,,,,,,,,,,,,,,,,
"Total Competitors:","=COUNTA(A8:A500)","Critical:","=COUNTIF(D8:D500,""Critical"")","High:","=COUNTIF(D8:D500,""High"")","Medium:","=COUNTIF(D8:D500,""Medium"")","Low:","=COUNTIF(D8:D500,""Low"")",,,,,,,,
"Direct:","=COUNTIF(C8:C500,""Direct Competitor"")","Indirect:","=COUNTIF(C8:C500,""Indirect Competitor"")","Emerging:","=COUNTIF(C8:C500,""Emerging Threat"")",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"=== COMPETITORS ===",,,,,,,,,,,,,,,,,
"Competitor ID","Company Name","Type","Threat Level","Website","Founded","Employees","Funding/Revenue","Target Markets","Description","Strengths","Weaknesses","Opportunities","Threats","Last Updated","Added Date","Notes"
"COMP-0001","[Company Name]","Direct Competitor","Medium","https://","","","","Enterprise, SMB","[Description]","[Strengths]","[Weaknesses]","[Market opportunities]","[Threats they pose]","=NOW()","=NOW()",""
"","","Indirect Competitor","Critical","","","","","Mid-Market","","","","","","","",""
"","","Potential Entrant","High","","","","","Startup","","","","","","","",""
"","","Substitute Product","Low","","","","","Consumer","","","","","","","",""
"","","Emerging Threat","Minimal","","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"=== FEATURES ===",,,,,,,,,,,,,,,,,
"Feature","Category","Our Product","[Competitor 1]","[Competitor 2]","[Competitor 3]","Notes",,,,,,,,,,,
"SSO/SAML Integration","Security","Yes","","","","",,,,,,,,,,,
"API Access","Integration","Yes","","","","",,,,,,,,,,,
"Custom Reports","Analytics","Yes","","","","",,,,,,,,,,,
"Mobile App","Core Product","Yes","","","","",,,,,,,,,,,
"24/7 Support","Support","Yes","","","","",,,,,,,,,,,
"White Labeling","Core Product","No","","","","",,,,,,,,,,,
"Audit Logs","Security","Yes","","","","",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"=== PRICING ===",,,,,,,,,,,,,,,,,
"Competitor","Plan Name","Price/Month","Price/Year","Billing","Users Included","Per User Cost","Storage","Key Features","Free Trial","Contract Required","Last Updated","Notes"
"[Our Company]","Professional","$99","$990","Monthly/Annual","5","$19.80","100 GB","All features","Yes - 14 days","No","=NOW()",""
"","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"=== WIN/LOSS ===",,,,,,,,,,,,,,,,,
"Record ID","Date","Opportunity","Deal Size","Result","Competitor","Primary Reason","Secondary Reasons","Decision Maker","Industry","Company Size","Sales Rep","Notes"
"WL-0001","=NOW()","[Deal Name]","0","Won","[Competitor]","Better Features","","","","","","",
"","","","","Lost","","Superior Features","","","","","","",
"","","","","","","Better Price","","","","","","",
"","","","","","","Better Support","","","","","","",
"","","","","","","Price Too High","","","","","","",
"","","","","","","Missing Features","","","","","","",
,,,,,,,,,,,,,,,,,
"=== NEWS ===",,,,,,,,,,,,,,,,,
"News ID","Date","Competitor","Type","Headline","Summary","Source URL","Impact","Action Taken","Notes"
"NEWS-0001","=NOW()","[Competitor]","Product Launch","[Headline]","[Summary]","https://","Medium - Monitor closely","",""
"","","","Funding Round","","","","High - Requires immediate action","",""
"","","","Acquisition","","","","Low - Informational only","",""
"","","","Partnership","","","","","",""
"","","","Leadership Change","","","","","",""
"","","","Pricing Change","","","","","",""
,,,,,,,,,,,,,,,,,
"=== BATTLE CARDS ===",,,,,,,,,,,,,,,,,
"Battle Card ID","Competitor","Generated Date","Last Updated","Version","Notes"
"BC-0001","[Competitor Name]","=NOW()","=NOW()","1.0",""
,,,,,,,,,,,,,,,,,
"=== THREAT LEVELS ===",,,,,,,,,,,,,,,,,
"Level","Description","Action Required",,,,,,,,,,,,,,,
"Critical","Immediate competitive threat","Daily monitoring, executive attention",,,,,,,,,,,,,,,
"High","Significant market impact","Weekly review, strategy adjustment",,,,,,,,,,,,,,,
"Medium","Moderate competitive pressure","Monthly tracking, watch for changes",,,,,,,,,,,,,,,
"Low","Minor competitive factor","Quarterly review",,,,,,,,,,,,,,,
"Minimal","Negligible threat","Annual assessment",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"=== COMPETITOR TYPES ===",,,,,,,,,,,,,,,,,
"Type","Description","Examples",,,,,,,,,,,,,,,
"Direct Competitor","Same product, same market","Head-to-head competitors",,,,,,,,,,,,,,,
"Indirect Competitor","Different product, same need","Alternative solutions",,,,,,,,,,,,,,,
"Potential Entrant","May enter market soon","Adjacent market players",,,,,,,,,,,,,,,
"Substitute Product","Different approach to problem","Emerging technologies",,,,,,,,,,,,,,,
"Emerging Threat","New/growing competitor","Startups, new entrants",,,,,,,,,,,,,,,
