"BLACKROAD OS - OKR TRACKER (OBJECTIVES & KEY RESULTS)",,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from okr-tracker.gs",,,,,,,,,,,,
"Quarter:","Q1 2024","Total Objectives:","=COUNTA(A8:A100)","Avg Progress:","=AVERAGE(H8:H100)","Status:","=IF(F3>=0.7,""✅ On Track"",IF(F3>=0.4,""⚠️ Attention"",""❌ At Risk""))",,,,
"Company:","=COUNTIF(C8:C100,""Company"")","Team:","=COUNTIF(C8:C100,""Team"")","Individual:","=COUNTIF(C8:C100,""Individual"")",,,,,,
,,,,,,,,,,,,
"=== OBJECTIVES ===",,,,,,,,,,,,
"ID","Title","Level","Team","Owner","Quarter","Parent","Progress","Score","Status","Description","Created","Key Results"
"OBJ-Q1-001","[Objective Title]","Company","","[Owner]","Q1 2024","","0","0","Active","","=TODAY()","0"
"","","Team","Engineering","","","OBJ-Q1-001","","","Draft","","",""
"","","Individual","Product","","","","","","Archived","","",""
"","","","Sales","","","","","","","","",""
"","","","Marketing","","","","","","","","",""
"","","","Operations","","","","","","","","",""
"","","","HR","","","","","","","","",""
"","","","Finance","","","","","","","","",""
,,,,,,,,,,,,
"=== SCORE THRESHOLDS ===",,,,,,,,,,,,
"Range","Status","Color","Meaning",,,,,,,,,
"0.7 - 1.0","✅ On Track","Green","Goal achieved or exceeded",,,,,,,,,
"0.4 - 0.69","⚠️ Needs Attention","Yellow","Making progress but may miss",,,,,,,,,
"0.0 - 0.39","❌ At Risk","Red","Unlikely to achieve without intervention",,,,,,,,,
,,,,,,,,,,,,
"=== OKR BEST PRACTICES ===",,,,,,,,,,,,
"Rule","Description",,,,,,,,,,
"3-5 Objectives","Focus on what matters most",,,,,,,,,,
"3-5 Key Results per Objective","Keep it measurable",,,,,,,,,,
"Ambitious but achievable","70% completion = success",,,,,,,,,,
"Weekly check-ins","Track progress regularly",,,,,,,,,,
"Cascade alignment","Company → Team → Individual",,,,,,,,,,
