"BLACKROAD OS - CUSTOMER SUPPORT TICKETING",,,,,,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from support-ticketing.gs",,,,,,,,,,,,,,,,,,
"Open Tickets:","=COUNTIFS(H7:H500,""<>Resolved"",H7:H500,""<>Closed"")","Resolved Today:","=SUMPRODUCT((M7:M500>=TODAY())*1)","Avg CSAT:","=AVERAGE(N7:N500)","SLA Compliance:","=COUNTIF(L7:L500,""<=""&K7:K500)/COUNT(L7:L500)",,,,,,,,,,
"P1 Open:","=COUNTIFS(E7:E500,""P1 - Critical"",H7:H500,""<>Resolved"",H7:H500,""<>Closed"")","Unassigned:","=COUNTBLANK(I7:I500)-COUNTBLANK(A7:A500)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"=== TICKETS ===",,,,,,,,,,,,,,,,,,
"Ticket ID","Subject","Customer Name","Customer Email","Priority","Category","Channel","Status","Assignee","Created","SLA Due","First Response","Resolved","CSAT","Description","Notes","Resolution","Time Spent"
"TKT-2024-00001","[Subject]","[Name]","[email]","P3 - Medium","Bug Report","Email","New","","=NOW()","=J8+1","","","","","","","0"
"","","","","P1 - Critical","Feature Request","Chat","Open","Support Team","","","","","","","","",""
"","","","","P2 - High","How-to Question","Phone","In Progress","","","","","","","","","",""
"","","","","P4 - Low","Billing","Web Form","Waiting on Customer","","","","","","","","","",""
"","","","","","Account Access","Social Media","Waiting on Third Party","","","","","","","","","",""
"","","","","","Performance","","Resolved","","","","","","","","","",""
"","","","","","Security","","Closed","","","","","","","","","",""
"","","","","","Integration","","","","","","","","","","","",""
"","","","","","Other","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,,
"=== SLA TARGETS ===",,,,,,,,,,,,,,,,,,
"Priority","SLA (hours)","Color","Description",,,,,,,,,,,,,,,,
"P1 - Critical","1","Red","System down, major impact",,,,,,,,,,,,,,,,
"P2 - High","4","Orange","Significant issue, workaround exists",,,,,,,,,,,,,,,,
"P3 - Medium","24","Yellow","Normal request, standard support",,,,,,,,,,,,,,,,
"P4 - Low","72","Blue","Minor issue, informational",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"=== TICKET STATUSES ===",,,,,,,,,,,,,,,,,,
"Status","Description",,,,,,,,,,,,,,,,,,
"New","Just created, not yet reviewed",,,,,,,,,,,,,,,,,,
"Open","Reviewed, work not started",,,,,,,,,,,,,,,,,,
"In Progress","Actively being worked on",,,,,,,,,,,,,,,,,,
"Waiting on Customer","Awaiting customer response",,,,,,,,,,,,,,,,,,
"Waiting on Third Party","Awaiting external party",,,,,,,,,,,,,,,,,,
"Resolved","Issue fixed, awaiting confirmation",,,,,,,,,,,,,,,,,,
"Closed","Ticket completed",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"=== CSAT SCALE ===",,,,,,,,,,,,,,,,,,
"Rating","Meaning",,,,,,,,,,,,,,,,,,
"5","Very Satisfied",,,,,,,,,,,,,,,,,,
"4","Satisfied",,,,,,,,,,,,,,,,,,
"3","Neutral",,,,,,,,,,,,,,,,,,
"2","Dissatisfied",,,,,,,,,,,,,,,,,,
"1","Very Dissatisfied",,,,,,,,,,,,,,,,,,
