"BLACKROAD OS - VENDOR SCORING & MANAGEMENT SYSTEM",,,,,,,,,,,,,,,,
"Version: 1.0 | After import: Extensions > Apps Script > Paste code from vendor-scoring.gs",,,,,,,,,,,,,,,,
"Total Vendors:","=COUNTA(A7:A200)","Active:","=COUNTIF(K7:K200,""Active"")","Approved:","=COUNTIF(K7:K200,""Approved"")","Total Value:","=SUM(H7:H200)",,,,,,,,
"Avg Score:","=AVERAGE(L7:L200)","Expiring Soon:","=SUMPRODUCT((J7:J200>=TODAY())*(J7:J200<TODAY()+60)*(K7:K200=""Active""))",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"=== VENDOR DATABASE ===",,,,,,,,,,,,,,,,
"Vendor ID","Name","Category","Primary Contact","Email","Phone","Website","Contract Value","Contract Term","End Date","Status","Score","Score Details","Products/Services","Notes","Created"
"VEN-2024-0001","[Vendor Name]","SaaS/Software","[Name]","[email]","[phone]","[url]","0","Annual","[Date]","Prospect","0","","","","=TODAY()"
"","","Cloud Infrastructure","","","","","","Monthly","","Evaluating","","","","",""
"","","Professional Services","","","","","","2 Year","","Approved","","","","",""
"","","Hardware","","","","","","3 Year","","Active","","","","",""
"","","Marketing","","","","","","One-time","","On Hold","","","","",""
"","","Legal","","","","","","","","Terminated","","","","",""
"","","HR Services","","","","","","","","","","","","",""
"","","Security","","","","","","","","","","","","",""
"","","Other","","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,
"=== EVALUATION CRITERIA ===",,,,,,,,,,,,,,,,
"Criteria","Weight","Description",,,,,,,,,,,,,,
"Price/Value","20%","Cost competitiveness and value for money",,,,,,,,,,,,,,
"Quality","20%","Product/service quality and reliability",,,,,,,,,,,,,,
"Support","15%","Customer support responsiveness and quality",,,,,,,,,,,,,,
"Security","15%","Security certifications and practices",,,,,,,,,,,,,,
"Scalability","10%","Ability to scale with our needs",,,,,,,,,,,,,,
"Integration","10%","Integration capabilities with existing systems",,,,,,,,,,,,,,
"Reputation","10%","Market reputation and stability",,,,,,,,,,,,,,
"TOTAL","100%","",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"=== SCORE THRESHOLDS ===",,,,,,,,,,,,,,,,
"Score Range","Status","Action",,,,,,,,,,,,,,
"80-100","✅ Approved","Proceed with vendor",,,,,,,,,,,,,,
"60-79","⚠️ Evaluating","Further review needed",,,,,,,,,,,,,,
"0-59","❌ On Hold","Not recommended",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"=== CATEGORY SUMMARY ===",,,,,,,,,,,,,,,,
"Category","Count","Total Value",,,,,,,,,,,,,,
"SaaS/Software","=COUNTIF(C7:C100,A39)","=SUMIF(C7:C100,A39,H7:H100)",,,,,,,,,,,,,,
"Cloud Infrastructure","=COUNTIF(C7:C100,A40)","=SUMIF(C7:C100,A40,H7:H100)",,,,,,,,,,,,,,
"Professional Services","=COUNTIF(C7:C100,A41)","=SUMIF(C7:C100,A41,H7:H100)",,,,,,,,,,,,,,
"Hardware","=COUNTIF(C7:C100,A42)","=SUMIF(C7:C100,A42,H7:H100)",,,,,,,,,,,,,,
"Security","=COUNTIF(C7:C100,A43)","=SUMIF(C7:C100,A43,H7:H100)",,,,,,,,,,,,,,
