"BLACKROAD OS - OKR (Objectives & Key Results) TRACKER",,,,,,,,
"Version: 1.0 | Import to Google Sheets",,,,,,,,
,,,,,,,,
"=== COMPANY OKRs - Q[X] [YEAR] ===",,,,,,,,
"Objective","Key Result","Owner","Start","Target","Current","Progress %","Status","Notes"
"[OBJECTIVE 1: Bold statement of what you want to achieve]",,,,,,,,
"","KR1: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F7/E7","=IF(G7>=0.7,""On Track"",IF(G7>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR2: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F8/E8","=IF(G8>=0.7,""On Track"",IF(G8>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR3: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F9/E9","=IF(G9>=0.7,""On Track"",IF(G9>=0.4,""At Risk"",""Behind""))","[Notes]"
"","Objective Score","","","","","=AVERAGE(G7:G9)","",""
,,,,,,,,
"[OBJECTIVE 2: Bold statement]",,,,,,,,
"","KR1: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F13/E13","=IF(G13>=0.7,""On Track"",IF(G13>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR2: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F14/E14","=IF(G14>=0.7,""On Track"",IF(G14>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR3: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F15/E15","=IF(G15>=0.7,""On Track"",IF(G15>=0.4,""At Risk"",""Behind""))","[Notes]"
"","Objective Score","","","","","=AVERAGE(G13:G15)","",""
,,,,,,,,
"[OBJECTIVE 3: Bold statement]",,,,,,,,
"","KR1: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F19/E19","=IF(G19>=0.7,""On Track"",IF(G19>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR2: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F20/E20","=IF(G20>=0.7,""On Track"",IF(G20>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR3: [Measurable outcome]","[Owner]","[Baseline]","[Target]","[Current]","=F21/E21","=IF(G21>=0.7,""On Track"",IF(G21>=0.4,""At Risk"",""Behind""))","[Notes]"
"","Objective Score","","","","","=AVERAGE(G19:G21)","",""
,,,,,,,,
"=== TEAM OKRs ===",,,,,,,,
"Team: [ENGINEERING]",,,,,,,,
"Objective","Key Result","Owner","Start","Target","Current","Progress %","Status","Notes"
"[Team Objective 1]",,,,,,,,
"","KR1: [Measurable]","[Owner]","[Baseline]","[Target]","[Current]","=F28/E28","=IF(G28>=0.7,""On Track"",IF(G28>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR2: [Measurable]","[Owner]","[Baseline]","[Target]","[Current]","=F29/E29","=IF(G29>=0.7,""On Track"",IF(G29>=0.4,""At Risk"",""Behind""))","[Notes]"
,,,,,,,,
"Team: [SALES]",,,,,,,,
"Objective","Key Result","Owner","Start","Target","Current","Progress %","Status","Notes"
"[Team Objective 1]",,,,,,,,
"","KR1: [Measurable]","[Owner]","[Baseline]","[Target]","[Current]","=F34/E34","=IF(G34>=0.7,""On Track"",IF(G34>=0.4,""At Risk"",""Behind""))","[Notes]"
"","KR2: [Measurable]","[Owner]","[Baseline]","[Target]","[Current]","=F35/E35","=IF(G35>=0.7,""On Track"",IF(G35>=0.4,""At Risk"",""Behind""))","[Notes]"
,,,,,,,,
"=== OKR SCORING GUIDE ===",,,,,,,,
"Score Range","Performance","Description",,,,,,
"0.7 - 1.0","Exceptional","Exceeded expectations, stretch goal achieved",,,,,,
"0.5 - 0.7","Good","Solid progress, most of the target achieved",,,,,,
"0.3 - 0.5","Needs Improvement","Partial progress, missed significant parts",,,,,,
"0.0 - 0.3","Failed","Little to no progress, major miss",,,,,,
,,,,,,,,
"=== QUARTERLY SUMMARY ===",,,,,,,,
"Quarter","Company Score","Eng Score","Sales Score","Product Score","Overall Status",,
"Q1 [YEAR]","=AVERAGE(G11,G17,G23)","[SCORE]","[SCORE]","[SCORE]","=IF(B47>=0.6,""Strong Quarter"",""Review Needed"")","",
"Q2 [YEAR]","[SCORE]","[SCORE]","[SCORE]","[SCORE]","","",
"Q3 [YEAR]","[SCORE]","[SCORE]","[SCORE]","[SCORE]","","",
"Q4 [YEAR]","[SCORE]","[SCORE]","[SCORE]","[SCORE]","","",
